0.023
0.033
0.043
0.053
0.063
0.073
0.083
0.093
0.103
0.113
0.123
0.133
0.143
0.153
0.163
0.173
0.183	400.001
0.193	399.932
0.203	399.862
0.213	399.747
0.223	400.556	325.165
0.233	400.255	325.634
0.243	399.539	322.099
0.253	399.678	322.099
0.263	324.058	399.516	525.068
0.273	326.652	399.193	525.280
0.283	328.810	399.355	525.432
0.293	329.628	398.594	523.251
0.303	331.135	396.756	527.195
0.313	331.173	525.523	132.333
0.323	331.633	525.978	132.333
0.333	331.556	132.333	525.675
0.343	331.518	132.333	527.256
0.353	332.170	132.333	526.221
0.363	332.131	132.058	525.644
0.373	331.863	131.221	523.463
0.383	332.016	132.363	523.251
0.393	332.093	132.333	522.707
0.403	331.863	132.333	520.418
0.413	332.189	131.844	517.390
0.423	332.688	129.310	521.591
0.433	332.957	132.333	517.241
0.443	333.458	132.647	519.637
0.453	333.458	132.333	522.194
0.463	334.094	130.813	521.833
0.473	334.635	132.333	525.341
0.483	334.925	131.366	522.556
0.493	335.525	132.333	527.256
0.503	335.603	132.333	523.040
0.513	132.333	335.138	523.070
0.523	132.333	335.215	522.919
0.533	132.020	335.041	522.768
0.543	132.333	334.383	522.617
0.553	130.813	334.403	522.587
0.563	132.333	334.055	522.768
0.573	132.333	333.631	522.164
0.583	132.333	333.458	519.937
0.593	132.539	333.785	518.767
0.603	132.333	333.882	523.251
0.613	130.813	334.190	525.098
0.623	132.333	334.017	525.705
0.633	132.333	333.959	527.896
0.643	132.333	333.535	530.004
0.653	132.333	333.227	530.678
0.663	132.333	332.880	530.617
0.673	132.333	332.304	527.043
0.683	132.333	332.573	398.042	526.921
0.693	131.055	332.938	398.272	527.256
0.703	130.813	333.458	398.134	525.310
0.713	130.813	333.824	397.789	525.887
0.723	130.813	398.571	333.458	520.869
0.733	130.383	398.295	333.458	525.401
0.743	130.813	397.881	525.310	333.458
0.753	130.813	398.410	523.251	333.342
0.763	130.813	397.559	524.674	262.959
0.773	132.333	398.295	525.432	263.324
0.783	132.333	526.161	398.986
0.793	526.617	132.333	399.193
0.803	527.378	131.184	401.158
0.813	527.713	132.333	293.665
0.823	528.354	293.393	131.738
0.833	295.383	527.165	132.333
0.843	297.077	528.537	131.700
0.853	297.077	529.331	399.124
0.863	297.077	529.331	399.078
0.873	297.077	526.799	401.158
0.883	298.298	526.313	199.216
0.893	298.798	199.262	525.644
0.903	299.005	198.332	495.569
0.913	298.384	198.275	499.622
0.923	297.077	199.032	495.140
0.933	297.077	200.000	493.883
0.943	297.008	200.509	496.515
0.953	296.837	200.579	493.883
0.963	199.966	296.957	493.883
0.973	199.412	297.077	492.203
0.983	198.986	493.883	297.077
0.993	198.447	493.883	297.077
1.003	198.275	494.854	296.991
1.013	198.275	495.655	297.043
1.023	198.275	496.888	296.923
1.033	198.275	497.836	296.888
1.043	198.275	498.152	296.854
1.053	198.275	498.642	296.854
1.063	197.486	499.305	296.803
1.073	198.275	499.218	296.888
1.083	198.275	498.584	297.077
1.093	198.275	497.462	297.077
1.103	198.275	297.077	495.970
1.113	198.275	297.077	494.197
1.123	198.275	297.077	493.883
1.133	198.275	297.077	493.883
1.143	198.275	297.077	493.883
1.153	198.275	489.623	297.077
1.163	198.275	489.707	297.077
1.173	198.275	490.330	297.077
1.183	198.275	491.067	297.077
1.193	198.275	492.089	297.077
1.203	197.806	493.684	297.077
1.213	198.275	493.883	297.077
1.223	497.836	198.275	297.077
1.233	499.045	198.275	296.923
1.243	498.642	198.275	296.991
1.253	497.031	198.275	296.974
1.263	495.398	198.275	297.043
1.273	493.883	198.275	297.077
1.283	493.883	197.304	297.077
1.293	489.990	197.224	296.923
1.303	488.408	198.275	296.665
1.313	488.211	296.580	197.498
1.323	488.211	296.700	197.065
1.333	488.211	297.008	198.275
1.343	488.775	297.077	198.275
1.353	297.077	489.651	195.998
1.363	297.077	490.727	195.986
1.373	297.077	491.919	196.100
1.383	297.266	196.406	492.914
1.393	196.792	297.077	493.484
1.403	197.281	296.820	493.883
1.413	197.692	296.409	493.883
1.423	197.932	296.323	493.883
1.433	198.275	296.477	493.883
1.443	199.493	297.077	493.883
1.453	198.275	297.077	493.627
1.463	295.332	201.543	493.741
1.473	294.684	198.849	376.505
1.483	294.072	376.549	439.416
