0.023
0.033
0.043
0.053
0.063
0.073
0.083
0.093
0.103
0.113
0.123
0.133
0.143
0.153
0.163
0.173
0.183
0.193
0.203
0.213
0.223
0.233	175.524
0.243	175.737
0.253	175.930
0.263	176.103
0.273	174.695	290.409
0.283	174.735	290.611
0.293	175.940	288.370
0.303	176.643	290.292
0.313	176.643	290.292
0.323	177.236	290.309	222.556
0.333	178.696	291.653	222.556
0.343	178.232	291.973	223.690
0.353	178.696	293.072	222.556
0.363	178.696	293.665	222.556
0.373	178.293	293.665	222.814
0.383	178.582	294.327	222.453
0.393	178.293	294.463	222.646
0.403	178.469	293.665	222.556
0.413	178.582	222.556	293.665
0.423	178.696	223.174	293.665
0.433	178.696	222.556	291.552
0.443	178.696	223.613	290.292
0.453	178.696	222.556	290.292
0.463	178.696	223.548	289.906
0.473	178.232	222.788	290.292
0.483	178.696	222.556	290.292
0.493	177.389	222.556	290.292
0.503	178.696	222.556	293.258
0.513	178.696	222.556	292.869
0.523	178.696	222.556	292.142
0.533	178.696	222.556	293.665
0.543	178.696	222.556	293.665
0.553	178.696	223.174	293.665
0.563	178.623	223.097	293.665
0.573	178.696	222.556	291.990
0.583	178.696	222.685	292.902
0.593	178.696	223.161	292.869
0.603	178.696	222.814	290.292
0.613	178.160	222.556	290.292
0.623	178.057	222.556	290.292
0.633	177.287	222.556	290.292
0.643	176.868	222.120	291.737
0.653	178.696	222.274	292.007
0.663	178.500	222.556	292.075
0.673	178.696	222.556	292.615
0.683	222.556	292.463	178.489
0.693	222.556	292.564	178.469
0.703	222.556	293.665	178.696
0.713	222.556	292.058	178.696
0.723	221.761	293.665	178.696
0.733	293.665	222.556	178.696
0.743	291.838	222.556	178.376
0.753	292.075	222.556	178.696
0.763	293.665	222.556	178.696
0.773	292.243	220.866	178.644
0.783	222.556	293.665	178.696
0.793	222.556	291.535	178.654
0.803	222.556	293.665	146.595
0.813	225.142	293.665	146.587
0.823	222.043	288.803	146.832
0.833	222.556	288.103	146.832
0.843	220.000	146.832	292.024
0.853	220.649	145.146	293.665
0.863	220.624	146.832	292.362
0.873	221.556	146.773	292.615
0.883	221.773	146.832	292.987
0.893	221.377	146.934	293.682
0.903	221.402	146.164	350.360
0.913	221.684	150.264	350.380
0.923	221.863	150.264	350.380
0.933	221.914	146.832	349.309
0.943	221.735	351.475	147.948
0.953	221.902	350.805	148.050
0.963	221.428	349.228	148.084
0.973	220.318	350.724	148.538
0.983	220.585	351.353	148.076
0.993	221.096	350.076	148.016
1.003	220.726	350.724	296.100
1.013	220.738	350.076	295.947
1.023	221.045	350.461	295.981
1.033	221.415	350.157	295.759
1.043	221.134	350.542	295.724
1.053	220.318	351.048	294.821
1.063	220.738	350.582	295.639
1.073	221.262	351.130	295.042
1.083	220.777	351.454	296.015
1.093	221.185	351.617	295.281
1.103	220.828	351.190	295.264
1.113	220.000	351.251	295.229
1.123	221.006	350.947	295.144
1.133	220.000	350.420	295.025
1.143	220.624	350.967	295.178
1.153	220.089	350.603	294.838
1.163	220.280	351.434	294.667
1.173	220.904	351.251	146.832
1.183	221.390	352.634	146.832
1.193	220.981	351.881	147.402
1.203	220.828	351.739	146.968
